Name,Country,Description,Entity Type,Sector,Team (People) 1,Team (People) 2,Team (People) 3,Team (People) 4,Partner 1 (Orgs),Partner 2 (Orgs),Partner 3 (Orgs),Partner 4 (Orgs),Partner 5 (Orgs),Partner 6 (Orgs),Url,Github,Project 1,Project 2,Project 3,Project 4,Project 5,Project 6,Project 7,Project 8,Related
African Media Initaitive,Kenya,"A pan-African organisation that seeks to strengthen the continent’s private and independent media sector from an owner and operator perspective to promote democratic governance, social development and economic growth.",Non Profit,Transparency,DR Roukaya Kasenally,,,,,,,,,,http://africanmediainitiative.org,,,,,,,,,,
Akirachix,Kenya,"Organisation that aims to close the gender gap in the technology sector by educating, inspiring and equipping girls with the skills and tools for innovation and social change",Non Profit,Education,Angela Lungati,Judith Owigar,Linda Kamau,Marie Githinji,Swedish International Development Agency (SIDA),Making All Voices Count,Ushahidi,Microsoft,iHub,,http://akirachix.com,,,,,,,,,,
ANCIR,"Kenya, South Africa, Nigeria, Tanzania, Sierra Leone, Morocco, Uganda, Panama",Africa Network of Centers for Investigative Reporting,Non Profit,Transparency,Justin Arenstein,,,,OSIWA,Bill & Melinda Gates Foundation,Hivos,ICFJ (International Center for Journalists),Code for Africa,,https://investigativecenters.org,,sourceAFRICA,,,,,,,,
Apps and Girls,Tanzania,"Initiative that seeks to bridge the tech gender gap by providing quality coding training (web programming, mobile app development game development and robotics) and entrepreneurship skills to girls in secondary schools via coding clubs, and to university level students at academic institutions.",Social Enterprise,Education,Carolyne Ekyarisiima,Noëlla Thindwa,,,Institute of International Education,Reach for Change,Tigo,Commision for Science and Technology (COSTECH),Buni Innovation Hub,,http://www.appsandgirls.com,,,,,,,,,,
Baobab Health Trust,Malawi,Medical Records Software,Public Agency,Health,Jacob Mziya,Baldwin Chiyamwaka,Dina  D. Migochi,,,,,,,,http://baobabhealth.org,https://github.com/BaobabHealthTrust,Out Patient Diagnosis Baobab EMR,,,,,,,,
Bill & Melinda Gates Foundation,"Kenya, South Africa, Nigeria, Tanzania, Sierra Leone, Morocco, Uganda","Foundation that aims to enhance healthcare and reduce extreme poverty, as well as to expand educational opportunities and access to information technology.",Donor / Investor,Governance,Bill Gates,Melinda Gates,Warren Buffet,,,,,,,,,,,,,,,,,,
BudgIT,Nigeria,Simplifies budget and matters of public spending for citizens,Social Enterprise,Governance,Oluseun Onigbinde,,,,Bill & Melinda Gates Foundation,Omidyar Network,The Indigo Trust,cMapIT,,,yourbudgit.com,,BudgIT,,,,,,,,
Buni Innovation Hub,Tanzania,"A technology Hub which fosters innovation and technology entrepreneurship through capacity building, mentoring programs and community empowerment.",Social Enterprise,Governance,Jacqueline Dismas,Maryam Mgonja,,,The World Bank,Making All Voices Count,Hivos,Sahara Sparks/ Ventures,Commision for Science and Technology (COSTECH),Data Lab (dLAB),http://buni.or.tz,,Kilimo Info,TZ Sensa,,,,,,,
Centre for Policy Analysis,Uganda,"Conducts public policy training, research, analysis and 
advocacy within the sphere of parliamentary democracy.",Non Profit,Governance,Jeremy Liebowitz,Joseph Munyangabo,,,USAID,,,,,,,,,,,,,,,,
cMapIT,Nigeria,A company that designs mobile mapping solutions for eveyone to possibly localise and privatise their geospatial data management system,Social Enterprise,Governance,Abiri Oluwatosin Niyi,,,,BudgIT,,,,,,https://cmapit.com,https://github.com/cmapithub,WaterDataNG,,,,,,,,
Code for Africa,"Kenya, South Africa, Nigeria, Tanzania, Sierra Leone, Morocco, Uganda",Multiple projects all available on Github,Non Profit,Transparency,Justin Arenstein,David Lemaiyan,Chris Roper,,The World Bank,Bill & Melinda Gates Foundation,ICFJ (International Center for Journalists),,,,codeforafrica.org,https://github.com/CodeForAfrica,GotToVote,afriLEAKS,africanSPENDING,CitizenReporter,Climate Change Projections,gazeti.AFRICA,Grano,HURUmap,
Code for Ghana,Ghana,"Initiative which aims to use open data and technology to promote responsive, innovative and effective governance",Non Profit,Transparency,,,,,,,,,,,http://www.codeforghana.org,https://github.com/CodeforGhana,Where My Money Dey,,,,,,,,
Code for Kenya,Kenya,Non-partisan civic data & civic technology 'change agent' that seeks to give citizens actionable information.,Non Profit,Transparency,Catherine Gicheru,David Lemaiyan,,,The World Bank,Bill & Melinda Gates Foundation,ICFJ (International Center for Journalists),,,,https://codeforkenya.org,,Biscuit Index,GotToVote,HealthTools,Politwoops KE,sensorsAFRICA,StarReports,TaxClock Kenya,,
Code for Nigeria,,Non-partisan civic data & civic technology 'change agent' that seeks to give citizens actionable information.,Non Profit,Transparency,Nkechi Okwuone,Blaise Aboh,,,Bill & Melinda Gates Foundation,The World Bank,Code for Africa,,,,https://codefornigeria.org,,YamaYama,Sahara Health,YamaYama,,,,,,
Code for Sierra Leone,Sierra Leone,A non-partisan civic data and civic technology ‘change agent’ that uses technology to boost active citizenry and evidence-based public discourse.,Non Profit,Transparency,Usman Khaliq,Salton Arthur Massally,Leonard Vibbi,,,,,,,,https://codeforsierraleone.org,https://github.com/Code4SierraLeone,MWash,Flood Aid Salone,Solve Cholera,,,,,,
Code for South Africa,South Africa,Multiple projects. All available on GitHub.,Non Profit,Transparency,Adi Eyal,Chantal Booyse,JD Bothma,Greg Kempe,The Indigo Trust,Open Society Foundation for South Africa (OSF-SA),Omidyar Network,Code for Africa,Making All Voices Count,ICFJ (International Center for Journalists),code4sa.org,https://github.com/Code4SA,TaxClock,,,,,,,,
Code for Tanzania,Tanzania,Non-partisan civic data & civic technology 'change agent' that seeks to give citizens actionable information.,Non Profit,Transparency,Omar Mohammed,Taha Jiwaji,Nuzulack Dausen,Emanuel Feruzi,The World Bank - Africa,Bill & Melinda Gates Foundation,Knight Foundation,Twaweza,IBP (International Budget Partnership),ICFJ (International Center for Journalists),https://codefortanzania.org,https://github.com/CodeForTanzania,Living Wage,Hospital Locator,MedPrices ,,,,,,
Codebridge,South Africa," A civic tech incubator who's mission is to bridge the gap between grassroots activism, technology and data.",Social Enterprise,Governance,,,,,OpenUp,Open Data Durban,Geekulcha,,,,http://codebridge.org.za,,Open Gazettes,,,,,,,,
Commision for Science and Technology (COSTECH),Tanzania,"Parastatal organization with the responsibility of coordinating and promoting research and technology development activities in Tanzania. COSTECH offers and supports a vast number of services to R&D individual scientists and the general public, and also hosts Buni Innovation Hub. COSTECH is involved in a significant number of projects that use technology to promote citizen engagement and governance.",Public Agency,Governance,Hassan Mshinda,,,,Buni Innovation Hub,Data Lab (dLAB),The World Bank,InfoDev,Swedish International Development Agency (SIDA),Ministry of Foreign Affairs Finland,http://www.costech.or.tz,,"Data Collaboratives For Local Impact (DCLI), Dar Ramani Huria, Buni Innovation Hub, Data for Local Impact Innovation Chalenge",,,,,,,,
Community for Children's Rights (CCR),Tanzania,"Organisation whose purpose it is to equip city councils, schools, community groups and social workers to resolve the moral dilemmas that they face when trying to protect children from violence.",Non Profit,Governance,Kate McAlpine,Edmund Lyatuu,,,Making All Voices Count,Save The Children,Oak Foundation,Children in Crossfire,Arusha City Council,,http://www.ccr-tz.org,,Councillor Connect,,,,,,,,
D-tree International,Tanzania,"Organisation that aims to exploit the potential of mobile software to plug health-related knowledge gaps existing in many parts of the world. The agency focuses on improving standards of care, or clinical protocols, that serve to systematically diagnose, manage and treat illnesses common in the developing world.",Social Enterprise,Health,Marc Mitchell,,,,Bill & Melinda Gates Foundation,Johnson & Johnson,Pathfinder International,Microsoft Research,Barr Foundation,Norad,http://www.d-tree.org,,,,,,,,,,
Dar Ramani Huria & Humanitarian Open Street Map Team,Tanzania,"Organisation that supports community mapping projects around the world and assists people to create their own maps for socio- economic development and disaster preparedness. Training governments, NGOs, students and volunteers. They organise and facilitates customized training workshops in open data and open source mapping and GIS tools. In Tanzania they work with Ramani Huria, a community-based mapping project that began in Dar es Salaam, Tanzania, training university students and local community members to create highly accurate maps of the most flood-prone areas of the city",Non Profit,Natural Resources,,,,,The World Bank,Commision for Science and Technology (COSTECH),Buni Innovation Hub,Humanitarian Openstreetmap,Tanzania Open Data Portal,Red Cross Tanzania,http://ramanihuria.org,,Ramani Huria,,,,,,,,
Data for Local Impact Innovation Challenge (DLI),Tanzania,Award grants to Tanzanians (both individuals and organizations) who have creative ideas on how to use or combine data - including open data - in new ways to gain insights or empower people through access to life-changing information & promotion of new innovations in the health sector.,Donor / Investor,Health,Agapiti Manday,,,,Palladium,Dar Teknohama Business Incubator,MK Auditors,Millenium Challenge Corporation,President's Emergency Fund for Aids Relief,,http://dliinnovationchallenge.com,,,,,,,,,,
Data Lab (dLAB),Tanzania,"An open working space where data from multiple sectors and sources can be combined, processed, and shared to drive better policies and decision-making",Public Agency,Governance,Charles Bundu,Mahadia Tunga,Somoe Mkwachu,,Commision for Science and Technology (COSTECH),Code for Tanzania,Sahara Sparks/ Ventures,Tanzania Bora Initiative,University of Dar es Salaam,Buni Innovation Hub,http://www.dlab.or.tz,https://github.com/dlab-tz,,,,,,,,,
Data Zetu,Tanzania,"Organisation that aims to empower communities to make better, more evidence-based decisions to improve their lives. Through partnerships and collaborations with local communities, Data Zetu works with stakeholders to build skills and develop digital and offline tools that make information accessible to everyone.",Non Profit,Governance,,,,,Millenium Challenge Corporation,President's Emergency Fund for Aids Relief,Data for Local Impact Innovation Challenge (DLI),Tanzania Open Data Portal,Code for Tanzania,Sahara Sparks/ Ventures,https://datazetu.or.tz,,,,,,,,,,
Deltares,Tanzania,"An independent institute for applied research in the field of water and subsurface that works on smart solutions, innovations and applications for people, environment and society.",Social Enterprise,Natural Resources,William Oliemans,,,,,,,,,,https://www.deltares.nl/en/sub-sahara-africa/,,Tanzania Red Cross Extreme Weather Impact Awareness App,,,,,,,,
